Product Name,Product Description,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Kellogg's All-Bran Breakfast Cereal 750g,High-Fibre Wheat Bran Cereal.,cereal,334,0.7,48,18,0.95
Kellogg's Corn Flakes Breakfast Cereal 1kg,Toasted Flakes of Golden Corn.,cereal,378,0.2,84,8,1.13
Jordans Country Crisp With Strawberries Cereal 500g,Crisp cereal clusters with freeze dried strawberries.,cereal,433,1.8,66.8,20.7,0.03
Jordans Country Crisp With Chunky Nuts Cereal 500g,"Crisp cereal clusters with chopped & whole roasted hazelnuts, sliced & whole almonds, chopped brazil nuts and chopped pecan nuts",cereal,469,2.6,58.3,17.5,0.03
Sainsbury's Maple & Pecan Crisp Cereal 500g,"Clusters of oats, wheat and crisped rice with pecan nut pieces and maple syrup",cereal,451,4.4,65.2,18,0.03
Dorset Cereals Simply Fruity Muesli 630g,"A blend of rolled and toasted flakes with sweetened dried papaya and pineapple, sultanas and raisins.",cereal,349,0.6,68.4,20.1,0.05
Dorset Cereals Simply Nutty Muesli 560g,"A blend of rolled and toasted flakes with dates, hazelnuts, almonds, brazil nuts and sunflower seeds.",cereal,376,1.1,64.4,14.2,0.03
Kellogg's Corn Flakes Breakfast Cereal 250g,Toasted Flakes of Golden Corn.,cereal,378,0.2,84,8,1.13
Weetabix Chocolate Cereal x24 540g,Wholegrain Wheat Cereal with Chocolate Chips Fortified with Vitamins & Iron.,cereal,366,1.6,68,17,0.18
Sainsbury's Raspberry & Yogurt Crisp Cereal 500g,"Clusters of oats, wheat and crisped rice with yogurt flavoured chunks and freeze-dried raspberries",cereal,438,5,67.1,18.5,0.03
Dorset Cereals Simply Delicious Muesli 650g,"A blend of flakes with dried fruit, sunflower seeds and nuts.",cereal,368,1.1,61.5,14.7,0.03
Kellogg's Bran Flakes Cereal 500g,Bran Enriched Wheat Flakes Fortified with Vitamins and Minerals.,cereal,358,0.4,65,14,0.66
Kellogg's Coco Pops Breakfast Cereal Bars 6x20g,Chocolate Flavour Toasted Rice Cereal and Milk Bar.,cereal,420,9.5,69,27,0.38
Weetabix Crunchy Bran Cereal 375g,"High fibre cereal with wheat bran, wholegrain wheat & oat bran, fortified with vitamins, iron & calcium.",cereal,351,0.8,54,14,0.58
Weetabix Protein Cereal x24,Whole Wheat Cereal with Crispy Pieces and Added Vitamins and Iron. 24 Biscuits.,cereal,365,0.4,62,4.7,0.23
Kellogg's Just Right Cereal 500g,"A harmony of wholewheat, corn, and rice flakes with sultanas and slices almonds.",cereal,371,0.3,79,23,0.98
Dorset Cereals Gloriously Nutty Muesli 500g,"A blend of rolled and toasted flakes with whole almonds, cashew nuts, roasted hazelnuts and chopped brazil nuts with dried fruit and seeds.",cereal,415,2,54.4,8.4,0.03
Dorset Cereals Simply Oat Granola 550g,Gently baked oats with golden syrup and sunflower seeds.,cereal,466,2,58.7,16,0.2
Kellogg's Crunchy Nut Honey & Nut Clusters Cereal 450g,"Crunchy Multi-Grain Cereal, Peanut & Honey Clusters.",cereal,447,3,68,26,0.95
Dorset Cereals Honey Granola 500g,"Gently baked oats, nuts and seeds with honey.",cereal,524,3.3,43.2,13.5,0.05
Kellogg's All-Bran Golden Crunch Cereal 390g,Crunchy Wheat Bran and Mixed Cereals Pieces with a Caramel Flavour,cereal,407,1.2,63,21,0.83
Quaker Oat Crisp Original Cereal 375g,Light Crispy Pillows of Oat Cereal,cereal,375,1,58,11,0.84
Dorset Cereals Nutty Granola 500g,"Deliciously baked oats and golden syrup with almonds, hazelnuts and cashews.",cereal,496,3.8,49.3,12.1,0.11
