Product Name,Product Description,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Jamie Oliver Microwave Ready to eat Tomato & Olive Quinoa 250g,"A Blend of Quinoa, Wheat and Rice with Olive Tapenade and Dried Tomatoes",rice,715,0.9,23.8,1,0.5
Merchant Gourmet Simply Cooked Red & White Quinoa 250g,Plant-based simplicity,rice,774,0.4,31,1.2,0.01
Sainsbury's Red & White Quinoa 250g,Cooked red and white quinoa,rice,199,0.5,32.7,1.3,0.02
Jamie Oliver Microwave Ready to eat Lentils with Roasted Vegetables 250g,A Blend of Pre-Cooked Lentils with Vegetables,rice,412,0.3,12,1.3,0.7
"Sainsbury's Microwave Ready to eat Bulgur Wheat, Chickpeas & Quinoa 250g","Cooked bulgur wheat, chickpea, quinoa and red rice",rice,175,0.3,29.3,1,0.02
Merchant Gourmet Microwave Ready to eat Beluga Lentils 250g,Beluga Lentils Simply Cooked,rice,602,0.3,17,0.5,0.05
Jamie Oliver Microwave Ready to eat Moroccan Bulgur Wheat 250g,"A Blend of Pre-Cooked Cereals with Chickpeas, Apricots, Preserved Lemon & Spices",rice,707,0.7,21.7,1.9,0.3
Jamie Oliver Microwave Ready to eat Curried Chickpeas 250g,"A Blend of Chickpeas, Lentils and Rice in a Spicy Sauce",rice,565,0.4,15.6,0.8,0.4
Gallo My Risotto Perfetto Porcini Mushroom 175g,,rice,346,0,75,2,2
Sainsbury's Gorgeous Grains 250g,"Cooked blend of bulgur wheat, red quinoa, pearl barley, wheatberries, green lentils and amaranth with a hint of garlic & onion",rice,167,0.2,30.9,0.9,0.02
Jamie Oliver Sumptuous Squash Orzotto 250g,"Borlotti Beans and Squash with Pearl Barley, in a White Wine and Parmigiano Reggiano Sauce",rice,566,0.6,19,1.7,0.55
Kellogg's Crunchy Nut Not So Nutty! Granola 600g,Crunchy Oat Clusters.,rice,481,11,60,19,0.85
Trip CBD Infused Elderflower Mint 250ml,"Lightly sparkling, CBD-infused Elderflower Mint drink powered by natural botanicals with no added sugar",rice,31.8,0,1.9,1.5,0
Trip CBD Infused Peach Ginger 250ml,"Lightly sparkling, CBD-infused Peach Ginger drink powered by natural botanicals with no added sugar",rice,35.1,0,2.1,1.8,0
Trip CBD Infused Lemon Basil 250ml,"Lightly sparkling, CBD-infused Lemon Basil drink powered by natural botanicals with no added sugar",rice,33.5,0,2.6,1.7,0
Actimel Strawberry Yogurt Drinks 12x100g,"Yogurt drink with L. casei Danone cultures, vitamins B6 and D, and strawberry.",yogurts,323,1,12,12,0.1
M¨¹ller Corner Vanilla Chocolate Balls & Banana Chocolate Flakes Yogurts 6x124g,"Vanilla flavour yogurt with milk & white chocolate coated puffed rice balls (8%) on the side
Banana yogurt with milk chocolate coated cornflakes (8%) on the side",yogurts,580,3.1,18.1,16,0.17
M¨¹ller Corner Strawberry & Peach & Apricot Yogurts 6x136g,"Creamy yogurt with strawberry compote on the side x 3
Creamy yogurt with peach & apricot compote on the side x 3",yogurts,440,2.5,12.4,11.9,0.17
Activia Rhubarb Yogurts 4x115g,Yogurt with Fruit,yogurts,381,1.9,12,12,0.14
Activia Strawberry Yogurts 4x115g,Yogurt with Fruit,yogurts,371,2,11.8,11.8,0.14
"Frubes Strawberry, Red Berries and Peach Yogurt 9x37g",Yogurt with added calcium and vitamin D,yogurts,384,1.8,12,10.8,0.15
Yeo Valley Organic Yogurt Greek Style With Honey 4x100g,4 Greek Style Yogurts with Honey,yogurts,591,4.8,13.7,13.7,0.13
Activia No Added Sugar 0% Fat Mixed Red Fruits Yogurt 8x115g,Fat Free Yogurt with Fruit and Sweeteners,yogurts,209,0,7,6.7,0.17
Activia Cherry Fat Free Yogurts 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,211,0,7.4,6.9,0.19
Sainsbury's Mixed Red Fruit Yogurt 6x125g,Low fat strawberry yogurt,yogurts,83,0.8,13.7,12.6,0.09
FAGE Total 0% Natural Fat Free Greek Recipe Strained Yogurt 450g,Natural Fat Free,yogurts,230,0,3,3,0.1
Activia Peach Fat Free Yogurts 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,204,0,7,6.7,0.16
M¨¹ller Corner Vanilla Yogurt With Chocolate Balls 124g,Vanilla flavour yogurt with milk & white chocolate coated puffed rice balls (8%),yogurts,580,3.1,18.1,16,0.17
Mary Ann's Dairy Low Fat Natural Yogurt 500g,Low fat natural yogurt,yogurts,60,1.1,6.4,6.4,0.14
Sainsbury's Fat Free Natural Yogurt 500g,Fat free natural yogurt,yogurts,48,0.2,6.4,6.4,0.18
Actimel Multifruit Yogurt Drinks 12x100g,"Yogurt drink with L Casei Danone cultures, vitamins B6 and D and multifruit.",yogurts,334,1,13,13,0.1
Activia Grains & Nuts Walnut & Oats Yogurt 4x120g,Yogurt with Oats and Walnut,yogurts,444,1.8,13.7,12.6,0.13
Yeo Valley Kefir Natural Organic Yogurt 350g,Fermented Natural Yogurt with Live Kefir Cultures,yogurts,268,1.4,5.4,5.4,0.12
Activia Prune Fusions Yogurt 4x120g,Yogurt with fruit layer,yogurts,414,2.4,13,12,0.12
M¨¹ller Light Greek Style Luscious Lemon Yogurt 4x115g,Lemon Greek style fat free yogurt with sweetener x4,yogurts,255,0.1,7.5,6.8,0.2
Yakult Yogurt Drink 7x65ml,Fermented skimmed milk drink with L. casei Shirota bacteria.,yogurts,182,0,10,8.8,0.03
M¨¹ller Light Red Fruits Fat Free Yogurts 6x140g,"Smooth raspberry & cranberry fat free yogurt with sweetener x 2
Strawberry fat free yogurt with sweetener x 2
Cherry fat free yogurt with sweetener x 2",yogurts,218,0.1,7.1,6.4,0.23
Yeo Valley Organic Greek Style Natural Yogurt 4x120g,Greek Style Natural Yogurt,yogurts,511,6.1,4.7,4.7,0.11
Yeo Valley Organic Little Yeos Fruity Favourites Yogurt 4x90g,Organic Yogurt Blended with a Smooth Fruit Pur¨¦e,yogurts,390,2.9,9.2,8.1,0.1
M¨¹ller Corner Red Cherry Yogurt 136g,Creamy yogurt with red cherry compote,yogurts,464,2.5,13.8,13.1,0.17
M¨¹ller Corner Strawberry Yogurt 136g,Creamy yogurt with strawberry compote,yogurts,440,2.5,12.4,11.9,0.17
"Onken Mango, Papaya & Passionfruit Biopot Yogurt 450g","Mango, Papaya, Passion Fruit Yogurt",yogurts,404,1.7,13,13,0.19
Activia Vanilla Fat Free Yogurts 4x115g,Fat free yogurt with natural flavourings and sweeteners,yogurts,218,0,6.9,6.5,0.17
Yeo Valley Organic Yogurt Fruity Favourites 4x120g,"Strawberry Yogurt
Raspberry Yogurt
Peach & Apricot Yogurt
Blackcurrant Yogurt",yogurts,434,2.5,11.1,11.1,0.15
"Sainsbury's West Country Lemon Curd Yogurt, Taste the Difference 150g",Lemon curd yogurt,yogurts,166,5.4,19.1,19.1,0.1
"Sainsbury's West Country Black Cherry Yogurt, Taste the Difference 150g",Black cherry yogurt,yogurts,124,3.9,13.7,13.3,0.08
Activia Mixed Yellow Fruits Yogurt 8x115g,Yogurt with Fruit,yogurts,373,1.9,12,12,0.14
"Wildlife Strawberry, Raspberry & Apricot Yogurt Choobs 6x37g",Strawberry Flavour or Raspberry Flavour or Apricot Flavour yogurt,yogurts,385,1.8,12.1,10.9,0.15
Sainsbury's Fat Free Greek Style Natural Yogurt 1kg,Fat free Greek style natural yogurt,yogurts,54,0.3,5.2,5.2,0.18
Muller Corner Banana Yogurt With Chocolate Flakes 124g,Banana yogurt with milk chocolate coated cornflakes (8%),yogurts,572,3,18,15.2,0.22
Ski Smooth Strawberry & Raspberry Yogurt 4x120g,Low fat yogurt with fruit puree,yogurts,351,1.8,11.6,11.3,0.1
Benecol Original No Added Sugar Yogurt Drink 6x67.5g,Yogurt drink with added plant stanols and sweetener.,yogurts,198,0.2,4.3,4.1,0.09
Rachel's Luscious Multipack Yogurt 4x110g,Organic Fruits Bio Live Yogurt,yogurts,459,3.3,12.1,11.9,0.1
Frubes Strawberry Flavour Yogurt Tubes 9x37g,Yogurt with added calcium and vitamin D,yogurts,385,1.8,12,10.8,0.15
"Sainsbury's West Country Madagascan Vanilla Yogurt, Taste the Difference 150g",Vanilla yogurt,yogurts,132,5,11.9,11.6,0.1
M¨¹ller Corner Peach & Apricot Yogurt 136g,Creamy yogurt with peach & apricot compote,yogurts,466,2.5,13.9,13.4,0.17
Muller Corner Vanilla Yogurt With Chocolate Digestive Biscuits 124g,Vanilla flavour yogurt with milk chocolate coated digestive biscuit balls (12%),yogurts,632,4,19.4,15.6,0.23
Sainsbury's Mixed Yellow Fruit Yogurt 6x125g,"Low fat fruit yogurts (2 peach, 2 apricot, 2 mango & passion fruit)",yogurts,81,0.8,13.4,12.1,0.11
Actimel Strawberry Fat Free No Added Sugar Yogurt Drinks 8x100g,"Yogurt drink with L. casei Danone cultures, vitamins B6 and D, strawberry and with sweeteners.",yogurts,116,0,3.2,3,0.11
Yakult Light Yogurt Drink 7x65ml,Fermented skimmed milk drink with L. casei Shirota bacteria and vitamin D & E. With sugars and sweeteners.,yogurts,111,0,8.8,2.9,0.03
Activia Intensely Creamy Strawberry Greek Style Yogurt 4x110g,Creamy Yogurt with Fruit,yogurts,416,2.1,12.9,12.5,0.11
Benecol Raspberry No Added Sugar Yogurt Drink 6x67.5g,Raspberry flavoured yogurt drink with added plant stanols and sweetener.,yogurts,202,0.2,4.6,4.5,0.09
Sainsbury's Greek Style Low Fat Natural Yogurt 500g,Low fat Greek style natural yogurt,yogurts,75,1.7,7.1,7.1,0.2
Activia Raspberry Fat Free Yogurts 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,209,0,7,6.7,0.17
Activia Health Fruits Yogurt 8x115g,Yogurt with Fruit,yogurts,399,1.9,13.2,12.6,0.14
Arla Skyr Natural Icelandic Style Yogurt 450g,Fat Free Icelandic Style Strained Yogurt,yogurts,63,0.1,4,4,0.14
M¨¹ller Corner Toffee Yogurt With Chocolate Hoops 124g,Toffee flavour yogurt with milk chocolate coated cereal hoops (10%),yogurts,605,3.3,19.1,16.8,0.18
"Sainsbury's West Country Glen Ample Raspberry Yogurt, Taste the Difference 150g",Raspberry yogurt,yogurts,125,4.7,11.2,10.4,0.08
Actimel Multifruit Yogurt Drinks 8x100g,"Yogurt drink with L Casei Danone cultures, vitamins B6 and D and multifruit.",yogurts,334,1,13,13,0.1
Lindahls  Kvarg Raspberry Protein Yogurt 150g,Fat Free Quark with Sweeteners and Raspberry Flavour.,yogurts,55,0.1,3.4,3.1,0.1
M¨¹ller Corner Bliss Lemon Greek Style Yogurt 4x110g,4 x Whipped Greek style yogurt with cream & a smooth lemon sauce on the side.,yogurts,675,3.3,22.2,21.3,0.2
Light & Free Greek Style Peach & Passionfruit Yogurt 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,47,0,7,6.2,0.15
M¨¹ller Corner Chocolate Digestive & Strawberry Shortcake Yogurts 6x124g,"Strawberry flavour yogurt with white chocolate coated shortcake biscuit (11%) on the side
Vanilla flavour yogurt with milk chocolate coated digestive biscuit balls (12%) on the side",yogurts,623,3.1,19.3,15.7,0.2
M¨¹ller Light Fat Free Cherry Yogurt 160g,Fat free cherry yogurt with sweetener,yogurts,227,0.1,7.4,6.6,0.26
Light & Free Greek Style Strawberry Yogurt 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,48,0,6.9,5.9,0.16
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,A delicious apple and strawberry fruit snack roll made with all natural colours and flavours,yogurts,393,3.5,79,37,0.13
Kellogg's Fruit Winders Strawberry Snack 5x17g,Strawberry & Pear Fruit Snack Roll,yogurts,393,3.5,79,37,0.13
Trip CBD Infused Peach Ginger 250ml,"Lightly sparkling, CBD-infused Peach Ginger drink powered by natural botanicals with no added sugar",yogurts,35.1,0,2.1,1.8,0
Trip CBD Infused Lemon Basil 250ml,"Lightly sparkling, CBD-infused Lemon Basil drink powered by natural botanicals with no added sugar",yogurts,33.5,0,2.6,1.7,0
"Sainsbury's West Country Spanish Honey & Ginger Yogurt, Taste the Difference 150g",Honey and ginger yogurt with crystallised ginger pieces,yogurts,138,4.8,14.4,13.8,0.1
M¨¹ller Light Fat Free Smooth Toffee Yogurt 160g,Fat free smooth toffee flavour yogurt with sweetener,yogurts,208,0.1,6.6,5.7,0.27
M¨¹ller Corner Mixed Red Fruits Yogurts 6x136g,"Creamy yogurt with red cherry compote on the side x 3
Creamy yogurt with blackberry & raspberry compote on the side x 3",yogurts,464,2.5,13.8,13.1,0.17
Sainsbury's Natural Yogurt 500g,Whole milk natural yogurt,yogurts,81,2.5,6.6,6.6,0.18
M¨¹ller Light Fat Free Yogurts With Chocolate Sprinkles 6x140g,"Vanilla flavour fat free yogurt with dark chocolate sprinkles (0.5%), with sugar & sweeteners
Orange fat free yogurt with dark chocolate sprinkles (0.5%), with sugar & sweeteners
Smooth caramel flavour fat free yogurt with dark chocolate sprinkles (0.5%), with sugar & sweeteners",yogurts,222,0.3,6.1,5.6,0.24
Oykos Greek Style Strawberry Yogurt 4x110g,Creamy yogurt with a fruit layer,yogurts,145,5.3,14.8,14.2,0.13
Actimel Original Plain Fat Free No Added Sugar Yogurt Drinks 12x100g,"Yogurt drink with L. Casei Danone cultures, vitamins B6 and D and sweeteners.",yogurts,115,0,3,3,0.1
Actimel Blueberry Yogurt Drinks 8x100g,"Yogurt drink with L Casei Danone cultures, vitamins B6 and D, and blueberry.",yogurts,325,1,12,12,0.1
Yeo Valley Organic 0% Fat Vanilla Yogurt 450g,Fat Free Vanilla Yogurt,yogurts,81342,0,14.1,14,0.17
Benecol Peach & Apricot No Added Sugar Yogurt Drink 6x67.5g,Peach & Apricot flavoured yogurt drink with added plant stanols and sweetener.,yogurts,205,0.2,4.8,4.7,0.09
Benecol Yogurt Drink Strawberry 6x67.5g,"Strawberry flavoured yogurt drink with added plant stanols, sugars and sweetener.",yogurts,215,0.2,5.1,4.9,0.09
Lindahls Kvarg Vanilla Protein Yogurt 150g,Fat Free Quark with Sweeteners and Natural Vanilla Flavour.,yogurts,54,0.1,3.5,3.1,0.1
Oykos Greek Style Peach Yogurt 4x110g,Creamy yogurt with a fruit layer,yogurts,136,5.3,12.8,12.2,0.11
Actimel Original Plain Fat Free No Added Sugar Yogurt Drinks 8x100g,"Yogurt drink with L.Casei Danone cultures, vitamins B6 and D and sweeteners.",yogurts,115,0,3,3,0.1
M¨¹ller Light Greek Style Coconut With A Hint Of Vanilla Yogurt 4x115g,Smooth Coconut with a hint of Vanilla Greek style fat free yogurt with sweetener x4,yogurts,266,0.4,7.5,6.7,0.2
Activia Intensely Creamy Peach Greek Style Yogurt 4x110g,Creamy Yogurt with Fruit,yogurts,411,2.1,12.6,12.3,0.11
Actimel Strawberry & Blueberry Yogurt Drinks 12x100g,"Yogurt drink with L.Casei Dananone cultures, vitamins B6 and D, and blueberry.
Yogurt drink with L.Casei Danone cultures, vitamins D and B6, and strawberry.",yogurts,325,1,12,12,0.1
M¨¹ller Corner Bliss Raspberry Greek Style Yogurt 4x110g,4 x Whipped Greek style yogurt with cream & a raspberry compote on the side.,yogurts,555,3.4,14.5,14.4,0.17
"Paw Patrol Fromage Frais Yogurt with added Vitamin D, Strawberry 6x45g",Calcium and vitamin D are needed for normal growth and development of bone in children,yogurts,86,1.6,9.9,9.4,0.12
Benecol Yogurt Drink Blueberry 6x67.5g,"Blueberry flavoured yogurt drink with added plant stanols, sugars and sweetener.",yogurts,214,0.2,5.1,4.9,0.09
Light & Free Greek Style Raspberry Yogurt 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,50,0,7.5,6.5,0.18
Actimel Strawberry Yogurt Drinks 8x100g,"Yogurt drink with L. casei Danone cultures, vitamins D and B6, and strawberry.",yogurts,323,1,12,12,0.1
M¨¹ller Light Fat Free Strawberry Yogurt 160g,Fat free strawberry yogurt with sweetener,yogurts,220,0.1,7,6.2,0.23
M¨¹ller Corner Strawberry Yogurt With White Chocolate Shortcake Balls 124g,Strawberry flavour yogurt with white chocolate coated shortcake biscuit balls (11%),yogurts,623,3.1,19.3,15.7,0.2
Activia No Added Sugar 0% Fat Mixed Fruits Yogurt 8x115g,"Fat Free Strawberry, Raspberry, Peach, Vanilla Yogurts with Live Cultures and Sweeteners",yogurts,218,0,6.9,6.5,0.17
Yeo Valley Organic Natural Yogurt 4x120g,Natural Yogurt,yogurts,298,2.5,4.9,4.9,0.12
Yeo Valley Kefir Mango & Passion Fruit Organic Yogurt 350g,Fermented Mango And Passion Fruit Yogurt With Live Kefir Cultures,yogurts,341,1.3,11.6,9.7,0.11
Lindahls Kvarg White Chocolate Protein Yogurt 150g,White Chocolate Flavour Fat Free Quark with Sweeteners.,yogurts,55,0.1,3.4,3.1,0.1
Oykos Greek Style Blueberry Yogurt 4x110g,Creamy yogurt with a fruit layer,yogurts,138,5.5,12.5,12.1,0.14
Lindahls Kvarg Stracciatella with Chocolate Pieces Protein Yogurt 150g,"Quark with Sweeteners, Chocolate Pieces and Vanilla Flavour.",yogurts,59,0.2,3.4,3.2,0.1
M¨¹ller Light Citrus Fat Free Yogurts 6x140g,"Mango & passionfruit fat free yogurt with sweetener x 2
Peach & pineapple fat free yogurt with sweetener x 2
Mandarin fat free yogurt with sweetener x 2",yogurts,224,0.1,7.2,6.6,0.2
M¨¹ller Light Fat Free Yogurt Limited Edition 160g,"Banana split flavour fat free yogurt with dark chocolate sprinkles (0.5%), with sugar & sweeteners",yogurts,237,0.3,7,6.6,0.24
Activia Intensely Creamy Blueberry Greek Style Yogurt 4x110g,Creamy Yogurt with Fruit,yogurts,421,2.1,13,12.7,0.14
M¨¹ller Light Greek Style Sublime Strawberry Yogurt 4x115g,Strawberry Greek style fat free yogurt with sweetener x4,yogurts,262,0.1,7.8,7.2,0.2
M¨¹ller Corner Blackberry & Raspberry Yogurt 136g,Creamy yogurt with blackberry & raspberry compote,yogurts,469,2.5,14.1,13.4,0.17
M¨¹ller Light Fat Free Vanilla Yogurt with Chocolate Sprinkles 160g,Fat free vanilla flavour yogurt with sugars & sweeteners and dark chocolate sprinkles (0.5%),yogurts,222,0.3,6.1,5.6,0.24
Activia Intensely Creamy Vanilla Greek Style Yogurt 4x110g,Creamy Yogurt with Vanilla Flavouring,yogurts,412,2.1,12.8,12.4,0.11
Yeo Valley Organic Yogurt Strawberry 4x120g,4 Strawberry Yogurts,yogurts,399,2.5,10.5,9.9,0.15
Smarties Mix-In Vanilla Flavour Yogurt with Mini Smarties 4x120g,Vanilla Flavour Yogurt and Milk Chocolate in a Crisp Sugar Shell.,yogurts,135,3.3,14.8,13.8,0.13
Wildlife Choobs Strawberry Flavour Yogurt 6x37g,Strawberry Flavour yogurt,yogurts,384,1.8,12.1,10.9,0.15
"Sainsbury's West Country Timperley Rhubarb Yogurt, Taste the Difference 150g",Rhubarb yogurt,yogurts,113,4.2,10.1,9.8,0.08
M¨¹ller Light Toffee Fat Free Yogurts 6x140g,Smooth toffee flavour fat free yogurt with sweeteners,yogurts,208,0.1,6.6,5.7,0.27
Lindahls Pro Kvarg Lemon Cheesecake Protein Yogurt 150g,Lemon Flavoured Fat Free Quark with Cheesecake Flavour and Sweeteners.,yogurts,61,0.1,3,2.7,0.1
Munch Bunch Seasonal Squashums Yogurt 6x60g,"Yogurt with Strawberry Puree
Yogurt with Raspberry Puree",yogurts,81,1.8,9.8,9.5,0.13
M¨¹ller Light Fat Free Smooth Banana & Custard Yogurt 160g,Fat free smooth banana & custard flavour yogurt with sweetener,yogurts,222,0.1,7.3,6.4,0.2
"Sainsbury's West Country Creamy Fudge Yogurt, Taste the Difference 150g",Fudge yogurt,yogurts,145,4.8,16.6,16.6,0.11
Activia Strawberry Fat Free Yogurt 4x115g,Fat free yogurt with fruit and sweeteners,yogurts,205,0,6.6,6.4,0.19
Oykos Salted Caramel Greek Style Yogurt 4x110g,Creamy yogurt with a salted caramel layer,yogurts,153,5.6,16.2,15.5,0.22
M¨¹ller Light Fat Free Smooth Raspberry & Cranberry Yogurt 160g,Fat free smooth raspberry & cranberry yogurt with sweetener,yogurts,218,0.1,7.1,6.4,0.23
Petits Filous Strawberry Flavour Drinking Yogurt 4x100g,Strawberry flavour drinking yogurt,yogurts,63,0.5,9.9,9.9,0.12
Actimel Coconut Yogurt Drinks 8x100g,"Yogurt drink with L. Casei Danone cultures, vitamins B6 and D, and coconut.",yogurts,349,1.3,12,12,0.1
Yeo Valley Organic 0% Fat Natural Yogurt 150g,Fat Free Natural Yogurt,yogurts,236,0.1,6.6,6.6,0.16
"Sainsbury's West Country Senga Strawberry Yogurt, Taste the Difference 150g",Strawberry yogurt,yogurts,118,4.4,10.7,10.4,0.08
Benecol Multifruit Yogurt Drink 6x67.5g,"Peach, Strawberry, Pineapple and Orange flavoured yogurt drink with added plant stanols, sugars and sweetener.",yogurts,219,0.2,5,4.9,0.09
Yeo Valley Organic 0% Fat Natural Yogurt 500g,Fat Free Natural Yogurt,yogurts,236,0.1,6.6,6.6,0.16
Actimel No Added Sugar 0% Fat Strawberry Yogurt Drink 12x100g,"Yogurt drink with L. casei Danone cultures, vitamins B6 and D, strawberry and with sweeteners.",yogurts,116,0,3.2,3,0.11
Actimel Raspberry Fat Free No Added Sugar Yogurt Drinks 8x100g,"Yogurt drink with L. Casei Danone cultures, vitamins B6 and D, raspberry, cranberry and sweeteners.",yogurts,117,0,3.2,2.9,0.11
Trip CBD Infused Elderflower Mint 250ml,"Lightly sparkling, CBD-infused Elderflower Mint drink powered by natural botanicals with no added sugar",yogurts,31.8,0,1.9,1.5,0
Trip CBD Infused Peach Ginger 250ml,"Lightly sparkling, CBD-infused Peach Ginger drink powered by natural botanicals with no added sugar",yogurts,35.1,0,2.1,1.8,0
Trip CBD Infused Lemon Basil 250ml,"Lightly sparkling, CBD-infused Lemon Basil drink powered by natural botanicals with no added sugar",yogurts,33.5,0,2.6,1.7,0
Rachel's Organic Greek Style Set Natural Yogurt 450g,Organic Greek Style Set Natural Yogurt,yogurts,480,5.6,5,5,0.1
Petits Filous Dairy Free Raspberry Yogurt 4x95g,Fermented Almond Specialty with Raspberry,yogurts,96,0.3,12.9,8.4,0.03
Irish Yogurts Diet Fat Free 4x125g,"Fat Free Fruits of the Forest Live Yogurt with Sweetener.
Fat Free Pear & Mango Live Yogurt with Sweetener.
Fat Free Apricot & Nectarine Live Yogurt with Sweeteners.
Fat Free Strawberry Live Yogurt with Sweetener.",yogurts,226,0.1,7.6,6.9,0.26
Arla Skyr Icelandic Style Natural Yogurt 1kg,Fat Free Icelandic Style Strained Yogurt,yogurts,63,0.1,4,4,0.14
Muller Corner Bliss Cheesecake Inspired Whipped Greek Style Salted Caramel Yogurt 4x100g,Whipped Greek style yogurt with a salted caramel flavour sauce & a biscuit crumble (12%) on the side x 4,yogurts,763,4.3,22,16,0.34
Petits Filous Magic Squares Strawberry & Vanilla Yogurt 4x80g,Strawberry Flavour and Vanilla Flavour Dairy Dessert,yogurts,400,1.9,11.4,10.8,0.12
Activia Low Fat Vanilla Yogurt & Granola with Spoon 165g,Low fat vanilla yogurt with cereal clusters,yogurts,112,0.9,18.2,11,0.1
"Sainsbury's West Country Mango & Yuzu Yogurt, Taste the Difference 150g",Mango and yuzu yogurt,yogurts,133,4.4,16,14.5,0.07
Arla Protein Strawberry Yogurt 200g,Strawberry & Lemon Balm Flavoured Strained Yogurt with Sweetener.,yogurts,296,0.1,6.3,6.1,0.12
Activia Red Fruits Yogurt 8x115g,"Cherry, Strawberry, Blueberry, Blackberry-Raspberry Yogurts with Live Cultures",yogurts,384,1.9,12,12,0.14
Yeo Valley Kefir Strawberry Organic Yogurt 350g,Fermented Strawberry Yogurt with Live Kefir Cultures,yogurts,332,1.3,11.1,9.5,0.11
Liberte Fat Free Blueberry Yogurt 4x100g,Fat Free Strained Yogurt on a Layer of Blueberry,yogurts,81,0,11,10.6,0.12
Oykos Passionfruit Greek Style Yogurt 4x110g,Creamy yogurt with a fruit layer,yogurts,144,5.3,14.6,13.9,0.18
Yeo Valley Organic Kefir Mango & Passion Fruit Yogurt 4x100g,Fermented Mango and Passion Fruit Yogurt with Live Kefir Cultures,yogurts,341,1.3,11.6,9.7,0.11
Graham's Protein 25 Strawberry Yogurt 190g,Strawberry Quark,yogurts,348,0.2,7.5,5.3,0.1
Arla Skyr Strawberry Icelandic Style Yogurt 150g,Fat Free Icelandic Style Strained Yogurt with Strawberry,yogurts,74,0.1,7.7,7.2,0.13
M¨¹ller Light Greek Style Smooth Toffee Yogurt 4x115g,Smooth toffee flavour Greek style fat free yogurt with sweeteners x4,yogurts,257,0.1,8.5,7.8,0.26
Yeo Valley Organic Greek Style Natural Yogurt 950g,Greek Style Natural Yogurt,yogurts,511,6.1,4.7,4.7,0.11
"Sainsbury's Peach Melba Yogurt, Taste the Difference 150g",Peach and raspberry yogurt,yogurts,123,4.6,12.6,11.5,0.07
Arla Skyr Creamy Icelandic Style Yogurt 450g,Icelandic style strained yogurt with 5% fat,yogurts,102,3.5,3.9,3.9,0.13
Yeo Valley Organic Kefir Raspberry Yogurt 4x100g,Fermented Raspberry Yogurt with Live Kefir Cultures,yogurts,333,1.2,11.3,9.8,0.12
Arla Lactofree Real Fruit Yogurts 4 x 125g (500g),"Lactose Free Raspberry Yogurt
Lactose Free Strawberry Yogurt",yogurts,437,1.7,17,12,0.08
Light & Free Greek Style Yogurt Wow White Chocolate Flavour 4x115g,Fat free white chocolate flavour yogurt with sweeteners.,yogurts,51,0.1,7.1,5.2,0.15
Petits Filous No Added Sugar Mess Free Apple & Raspberry Drinking Yogurt 4x100g,Drinking Yogurt with Apple and Raspberry Purees,yogurts,184,0.9,4.8,4.3,0.11
Yeo Valley Organic Kefir Strawberry Yogurt 4x100g,Fermented Strawberry Yogurt with Live Kefir Cultures,yogurts,332,1.3,11.1,9.5,0.11
Liberte Fat Free Strawberry Yogurt 4x100g,Fat Free Strained Yogurt on a Layer of Strawberry,yogurts,81,0,11.1,10.7,0.12
M¨¹ller Corner Skyr Raspberry & Hazelnut Granola Yogurt 170g,"Icelandic style full fat yogurt & Quark mix, with cocoa cereals, hazelnuts, almonds and dried raspberry pieces (11%)",yogurts,616,2.9,12.8,9.9,0.17
Liberte Fat Free Honey Yogurt 4x100g,Fat Free Strained Yogurt on a Layer of Honey,yogurts,82,0,11.7,10.9,0.12
Yeo Valley Organic 0% Fat Greek Style Yogurt With Honey 4x120g,4 Fat Free Greek Style Yogurts with Honey,yogurts,314,0,11.3,11.3,0.18
Activia Intensely Creamy Cherry Yogurt 4x110g,Creamy Yogurt with Fruit,yogurts,405,21,12.2,11.7,0.11
Benecol Yogurt Drink Tropical Fruit & Soya (Dairy Free) 6x65.5g,"Tropical fruit flavoured soya drink with added plant stanols, sugars and sweetener.",yogurts,197,0.4,2.9,2.4,0.04
Actimel Mango & Passionfruit Dairy Free Yogurt Drink Alternative 6x100g,"Fermented almond and oat based product with fruit, brown cane sugar, added vitamins and flavourings.",yogurts,235,0.2,7.4,4.4,0
Ski Variety Yogurt 4x120g,Low fat yogurt with fruit pieces and fruit puree,yogurts,343,1.6,11.6,11.3,0.1
Gut Glory Salted Caramel Yogurt 450g,Smooth salted caramel yogurt,yogurts,481,2.8,13.8,13,0.4
Graham's Protein 22 Raspberry Yogurt 190g,Raspberry Quark,yogurts,346,0.2,7.5,5.5,0.1
Actimel Supermix Cranberry Redcurrant & Rosehip Yogurt Drink 12x100g,"Yogurt drink with L. casei Danone cultures, vitamins B6 and D, cranberry, rosehip, redcurrant, strawberry.",yogurts,304,1,11,11,0.1
Light & Free Protein Yogurt Vanilla & Salted Caramel Flavour 150g,"Icelandic Style strained yogurt with vanilla, flavourings and with sweeteners.",yogurts,53,0.1,3.7,3.1,0.05
