Product Name,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Tyrrells Lentil Sharing Crisps Sweet Chilli & Red Pepper 80g,crisps,1959,1.6,59,5.3,2.1
Pom-Bear Cheese & Onion Multipack Crisps 6x13g,crisps,495,2.7,62,2.9,1.4
McCoy's Meaty Variety Pack Crisps 6x25g,crisps,524,2.5,53,2.3,1.5
Popchips Original Chips Sharing Crisps 85g,crisps,410,1.3,62,2,2.1
Pipers Anglesey Sea Salt Sharing Crisps 150g,crisps,2223,3.3,57.2,0.5,0.94
Kettle Chips Variety Multipack Crisps 5x30g,crisps,2142,2.4,56.8,1.3,1.6
Sainsbury's Ridge Classic Variety Ridge Cut Assorted Crisps 6x27g,crisps,517,2.9,55.5,0.5,1.31
Sainsbury's Flame Grilled Steak Ridge Cut Crisps 6x27g,crisps,521,3.3,53.4,1.1,1.02
"Sainsbury's Coronation Chicken Flavour Hand Cooked Potato Crisps, Taste the Difference 150g",crisps,493,2.9,54.3,1.8,1.16
McCoy's Cheddar & Onion Variety Pack Crisps 6x25g,crisps,526,2.5,53,2.4,0.97
Walkers Sensations BBQ Beef Teriyaki Sharing Crisps 150g,crisps,476,2.1,58.6,2.6,1.53
Walkers Max Strong Jalape?o & Cheese Sharing Crisps 150g,crisps,531,2.8,51,2.6,1.32
Walkers Max Punchy Paprika Sharing Crisps 150g,crisps,530,2.7,51.2,3.7,1.63
Pipers Lye Cross Cheddar & Onion Sharing Crisps 150g,crisps,2227,3.5,56.1,1.5,1.55
Pipers Great Berwick Longhorn Beef Crisps 150g,crisps,2197,3,51.8,1.6,1
Walkers Max Strong Hot Chicken Wings Sharing Crisps 150g,crisps,532,2.7,51.1,3.2,1.35
Pipers Burrow Hill Cider Vinegar & Sea Salt Sharing Crisps 150g,crisps,2184,3,57,2.7,2.13
McCoy's Thai Sweet Chicken Multipack Crisps 6 Pack,crisps,525,2.4,54,3.2,1.3
Doritos Flamin' Hot Tangy Cheese Sharing Tortilla Chips Crisps 180g,crisps,499,3,57.6,3.2,1.19
Pringles Sizzl'N Extra Hot Cheese & Chilli Crisps 180g,crisps,520,2.8,58,2.9,1.3
Pringles Sizzl'N Kickin' Sour Cream Sharing Crisps 180g,crisps,525,2.9,57,2.8,1.6
Pipers Kirkby Malham Chorizo Sharing Crisps 150g,crisps,2196,3.1,56.9,5.6,2
Walkers Cheese & Onion Crisps 45g,crisps,514,2.4,54,2.6,1.2
Tyrrells English Smoky Barbecue Sharing Crisps 150g,crisps,2066,2.8,57.8,3.7,1.2
Pipers Atlas Mountains Wild Thyme & Rosemary Sharing Crisps 150g,crisps,2121,1.8,56.2,2,1.4
Tyrrells Sea Salt & Black Pepper Sharing Crisps 150g,crisps,2072,2.9,53.4,1.4,1.3
Doritos Stax Ultimate Cheese Sharing Snacks Crisps 170g,crisps,519,2.6,60,2.3,1.3
Walkers Salt & Vinegar Crisps 45g,crisps,514,2.4,54,0.4,1.6
Pringles Sizzl'n Spicy Sweet Chilli Crisps 180g,crisps,519,2.7,58,4.7,1.3
Doritos Stax Sour Cream & Onion Sharing Snacks Crisps 170g,crisps,529,2.2,63,1.9,1.4
Walkers Prawn Cocktail Crisps 45g,crisps,513,2.4,55,1.9,1.2
Pringles Sizzl'N Spicy Chorizo Flavour Sharing Crisps 180g,crisps,520,2.7,58,4,1.3
Doritos Flame Grilled Steak Sharing Tortilla Chips Crisps 180g,crisps,491,3.1,59,5.5,1.57
Walkers Max KFC Kentucky Fried Chicken Sharing Crisps 140g,crisps,509,2.5,52.7,3.7,1.19
Tyrrells Veg Balsamic Vinegar & Sea Salt Sharing Crisps 125g,crisps,2158,3.6,39.3,23.8,1.6
Kettle Veg Chips Lightly Salted Sharing Crisps 125g,crisps,514,2.4,44.1,21.3,1
Pringles Sour Cream & Onion Sharing Crisps 200g,crisps,525,2.8,56,2.5,1.3
Pringles Texas BBQ Sauce Flavour Sharing Crisps 200g,crisps,520,2.7,57,4.5,1.2
Kellogg's Crunchy Nut Not So Nutty! Granola 600g,crisps,481,11,60,19,0.85
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,crisps,393,3.5,79,37,0.13
Pipers Upton Cheyney Jalape?o & Dill Crisps 150g,crisps,2145,2.5,55.2,1.7,0.75
Walkers Roast Chicken Crisps 45g,crisps,513,2.4,54,1.4,1.2
Walkers Smoky Bacon Crisps 45g,crisps,514,2.4,55,4.5,1.2
Walkers Oven Baked Prawn Cocktail Flavoured Crisp Snacks 37.5g,crisps,440,1.3,71.3,4.7,0.83
Walkers Max Strong Hot Chicken Wings Crisps 50g,crisps,532,2.7,51.1,3.2,1.35
Jacob's Mini Cheddars Original x6 25g,crisps,516,11.6,50.3,4.6,2.6
"Just Snax Tortilla Chips, Basics 200g",crisps,480,1.9,64.6,0.5,0.9
Walkers Quavers Cheese Multipack Snacks 6x16g,crisps,536,2.7,62.1,2.7,2.14
Walkers Wotsits Really Cheesy Multipack Snacks 6x16.5g,crisps,494,2.9,46.2,7.2,1.58
Walkers Baked Sea Salt Mulitpack Snacks 6x25g,crisps,436,1.2,69,5.8,1.18
Jacob's Mini Cheddars Red Leicester x6 25g,crisps,526,11.6,51.1,4.1,2.6
Smiths Frazzles Crispy Bacon Multipack Snacks 6x18g,crisps,467,1.4,65.9,2.2,2.43
Jacob's Mini Cheddars Original x12 25g,crisps,516,11.6,50.3,4.6,2.6
Walkers Sunbites Sweet Chilli Mulitpack Snacks 6x25g,crisps,478,2.2,61.7,10.4,0.6
Walkers Quavers Cheese Multipack Snacks 12x16g,crisps,536,2.7,62.1,2.7,2.14
Walkers Squares Salt & Vinegar Multipack Snacks 6x22g,crisps,443,1.5,61,3.5,2.2
Skips Prawn Cocktail 6x13.1g,crisps,543,3.1,57,6.5,2.2
Walkers Wotsits Really Cheesy Multipack Snacks 12x16.5g,crisps,494,2.9,46.2,7.2,1.58
Sainsbury's Tortilla Chips Salted 200g,crisps,491,1.9,62.7,0.5,0.8
Walkers Baked Cheese & Onion Mulitpack Snacks 6x25g,crisps,436,1.3,68.6,7.6,0.94
Snack a Jacks Salt & Vinegar Multipack Rice Cakes Pack x5,crisps,408,1.1,73.8,3,1.43
Sensations Lime & Coriander Chutney Poppadoms 82.5g,crisps,487,2.5,58.2,2.6,3
Walkers Baked Variety Mulitpack Snacks 6x25g,crisps,436,1.3,68.6,7.6,0.94
Sunbites Sour Cream Mulitpack Snacks 6x25g,crisps,476,2.2,60.9,8.9,1.2
Walkers French Fries Variety Multipack Snacks 12x18g,crisps,434,1.4,65,1.1,2.5
Eat Real Lentil Chips Sea Salt Flavour 113g,crisps,478,1.7,62.1,0.6,2.4
Jacob's Mini Cheddars Red Leicester x12 300g,crisps,526,11.6,51.1,4.1,2.6
Sainsbury's Mild Salsa 200g,crisps,57,0.2,7.9,6.2,0.47
Sainsbury's Onion Rings 125g,crisps,508,2.7,57.5,7.4,1.56
Sainsbury's Bacon Crispies 140g,crisps,492,2.4,59.5,2,1.53
Smiths Chipsticks Salt & Vinegar Multipack Snacks 6x17g,crisps,486,1.7,63.3,0.7,2.52
Walkers Squares Variety Multipack Snacks 12x22g,crisps,443,1.5,61,3.5,2.2
Walkers Monster Munch Pickled Onion Multipack Snacks 6x20g,crisps,492,2.1,60,3,1.55
Walkers Baked Salt & Vinegar Mulitpack Snacks 6x25g,crisps,432,1.3,68,6.3,0.91
Sainsbury's Cheese Balls 140g,crisps,504,3.6,61.7,7.6,1.29
Walkers Quavers Prawn Cocktail Multipack Snacks x6 16g,crisps,524,2.5,64,1.7,1.84
Wheat Crunchies Bacon 6x23g,crisps,495,2.4,57,3.6,1.8
Sensations Mango & Chilli Chutney Poppadoms 82.5g,crisps,488,2.5,59.4,5.2,2.8
Doritos Variety Multipack Tortilla Chips 12x30g,crisps,499,2.5,57,2.7,1.2
Sainsbury?s Salt & Vinegar Crunchy Sticks 140g,crisps,485,2.3,61,2,2.45
Off the Eaten Path Balsamic Vinegar Bean Sticks 100g,crisps,443,1.8,59,5,2
Doritos Chilli Heatwave Multipack Tortilla Chips 5pk,crisps,497,3,59.3,6.1,1.35
Sainsbury's Onion Rings 6x19g,crisps,508,2.7,57.5,7.4,1.56
Doritos Tangy Cheese Multipack Tortilla Chips 5x30g,crisps,501,3.4,57.5,2.7,1.19
Sainsbury's Cheese Puffs 6x17g,crisps,534,6,56.2,10.2,2
Sainsbury's Bacon Crispies 6x20g,crisps,492,2.4,59.5,2,1.53
Walkers Monster Munch Roast Beef Multipack Snacks 6x20g,crisps,492,2.2,59,3,1.73
Walkers Wotsits Giants Really Cheesy Sharing Snacks 130g,crisps,549,3.6,55.2,6.8,1.83
Skips Prawn Cocktail 14x13.1g,crisps,543,3.1,57,6.5,2.2
Sainsbury's Salt  Potato Twirls 125g,crisps,470,2.3,72.5,1,1.76
Cheetos Puffs Flamin' Hot Multipack Snacks 6x13g,crisps,534,2.5,60,4,1.93
Properchips Barbecue Lentil Chips 85g,crisps,469,2.9,63.6,4.5,2.55
Walkers Monster Munch Variety Multipack Snacks 12x20g,crisps,492,2.1,60,3,1.55
Sainsbury's Prawn Cocktail Shells 85g,crisps,539,2.7,56.8,6.3,1.99
Mister Free'd Tortilla Chips BBQ 135g,crisps,1985,2.7,60,2.4,1.7
"Eat Real Hummus, Lentil, Quinoa Chips X5 116g",crisps,449,1.2,68.4,2.2,2.6
Mister Free'd Cheezie Tortilla Chips Cheese 135g,crisps,2003,2.5,67,1.4,1
Itsu Crispy Seaweed Thins Sea Salt 3x5g,crisps,459,4.5,5.8,0.5,4.8
Sainsbury's Tortilla Chips Tangy Cheese 200g,crisps,492,2.2,60.7,2,1.28
Pringles Sour Cream & Onion Sharing Crisps 200g,crisps,525,2.8,56,2.5,1.3
Pringles Salt & Vinegar Sharing Crisps 200g,crisps,514,2.7,56,2.3,1.9
Pringles Texas BBQ Sauce Flavour Sharing Crisps 200g,crisps,520,2.7,57,4.5,1.2
Kellogg's Fruit Winders Strawberry Snack 5x17g,crisps,393,3.5,79,37,0.13
Walkers Quavers Salt & Vinegar Multipack Snacks x6 16g,crisps,522,2.5,63.7,0.4,2.4
Off the Eaten Path Sea Salt Bean Sticks 100g,crisps,441,1.8,58,2.2,2
Snack a Jacks Sour Cream & Chive Multipack Rice Cakes,crisps,411,1.1,74.3,2.8,1.46
Walkers Wotsits Giants Flamin' Hot Sharing Snacks 130g,crisps,532,2.7,58.1,3.8,1.73
Sainsbury's Cheese Puffs 125g,crisps,534,6,56.2,10.2,2
Sainsbury's Cheesy Curls 6x16g,crisps,522,3.3,61,3.6,2.16
Hula Hoops Variety  Pack 18x24g,crisps,498,2.3,64,1,2.2
Eat Real Quinoa Chips Sour Cream & Chives Flavour 80g,crisps,473,1.9,61,2.3,2.1
Cheetos Puffs Cheese Multipack Snacks 6x13g,crisps,494,2.9,46.2,7.2,1.58
Harvest Snaps Sour Cream & Chive Crunchy Lentil Rings 6x17g,crisps,442,1,54.2,2,1.26
Sainsbury's Salted Popped Potato Chips 88g,crisps,395,1.1,73.2,0.5,1.5
Walkers Monster Munch Giants Pickled Onion 85g,crisps,509,2.1,62,4.4,1.57
Walkers Wotsits Crunchy Really Cheesy Snacks 140g,crisps,552,4.8,56,5.8,1.3
Properchips Salt & Vinegar Lentil Chips 85g,crisps,464,2.9,62.4,2.1,2.83
Walkers Monster Munch Giants Roast Beef 85g,crisps,505,2.1,61.6,3,1.58
Sainsbury's Tortilla Chips Chilli  200g,crisps,485,1.8,64,2.7,1.3
Snack a Jacks Sweet Chilli Multipack Rice Cakes 5pk,crisps,406,0.9,76.9,3.6,0.89
Sainsbury's Lion Snacks Lightly Salted 6x15g,crisps,519,3,62.1,2.9,0.95
Manomasa Manchego & Green Olive Sharing Tortilla Chips 160g,crisps,499,3.4,51.8,4.6,1.2
Discos Variety Pack 6x25.5g,crisps,527,5.5,63,2.1,1.3
Sch?r Gluten Free Curvies Original 170g,crisps,495,1,61,5,1
Jacob's Mini Cheddars Sticks Rich & Tangy Cheddar Flavour 150g,crisps,462,4.3,62.2,2.2,2.2
Harvest Snaps Thai Sweet Chilli Crispy Lentil Puffs 6x18g,crisps,444,1.1,53.6,4.3,1.11
Walkers Oven Baked Prawn Cocktail Snacks 6x25g,crisps,440,1.3,71.3,4.7,0.83
Manomasa Chipotle & Lime Sharing Tortilla Chips 160g,crisps,502,2,55.9,1.9,1.1
Sainsbury's BBQ Popped Potato Chips 88g,crisps,398,1.4,70.9,4.5,1.33
Kind Maple Pecan Almond Snack Bars Multipack 3x30g,crisps,2486,4.8,24,10,0.29
Sensations Peking Spare Rib Oriental Crackers 110g,crisps,480,2.5,67,12,3.48
Walkers Wotsits Giants Prawn Cocktail Snacks 105g,crisps,497,1.8,64.7,3.4,1.47
"Sainsbury's Beef & Caramelised Onion, Taste the Difference",crisps,515,3.4,53.6,2.6,1.25
Propercorn Salted Caramel Popcorn 90g,crisps,484,2,61.8,31,1.35
Off the Eaten Path Sour Cream & Pepper Bean Sticks 100g,crisps,440,1.9,58,3,2.4
Walkers Wotsits Really Cheesy Multipack Snacks 22x16.5g,crisps,494,2.9,46.2,7.2,1.58
Itsu Crispy Seaweed Thins Sweet Soy & Sea Salt 3x5g,crisps,475,5.3,9.2,3.9,2.9
Walkers Sensations Garlic & Herb Sharing Naan Chips 150g,crisps,480,2.1,61,7.5,1.4
Jacob's Mini Cheddars Sticks Grilled Cheddar & Sizzling Steak Flavour 150g,crisps,464,4.4,62.2,1.5,2.2
Hippeas Chickpea Puffs Sweet & Smokin 78g,crisps,388,0.3,12.2,0.7,0.2
Jacob's Mini Cheddars Crunchlets Rich & Tangy Cheddar Flavour 115g,crisps,453,4.3,59.8,3.9,2.2
