Barcode,Nudge ID,Category,Nudge food ID,Source food ID,Brand name,Product Name,Energy,Fat,Saturated fat,Carbohydrate,Sugar,Protein,Salt,Ingredients,May contain
5.06E+12,"A0001,B0000,C0024,D0000,E0006,F0000",cereal,136033,6431727,Tesco,Tesco Bran Flakes 750g,1501,2.4,0.4,64.3,13.6,10.8,0.6,"Wholewheat (80%), Wheat Bran, Sugar, Barley Malt Extract, Salt,??Niacin, Iron, Pantothenic Acid, Thiamin, Vitamin B6, Riboflavin, Folic Acid, Vitamin D, Vitamin B12.","H0008,H0007"
5.06E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,236221,7898663,Oomf,Oomf Protein Oats Golden Syrup Flavour 75g,1589,4.4,1.1,56.9,14.4,27.4,0.3,"Oat Flakes [51%], Skimmed Milk Powder, Whey Protein Concentrate (Milk) [15%], Xylitol, Natural Syrup Flavouring [<1%], Contains only naturally occurring Sugars and Xylitol (Birch tree extract).",H0000
5.06E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,236421,7908318,Nutri-Brex,Nutri-brex 24 Gluten Free Original 375g,1580,3.6,0.6,70,2.2,12,0.59,"Wholegrain Sorghum (96%), Golden Syrup, Salt, Vitamins (Niacin, Thiamin, Riboflavin, Folic Acid), Antioxidant: Alpha Tocopherols",H0000
5.06E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,236676,8101879,Deliciously Ella,"Deliciously Ella Nutty Granola With Cashews, Almonds & Hazelnuts 500g",1699,16.7,2.3,48.6,11.4,12.4,0.04,"Gluten Free Rolled Oats (60%), Mixed Nuts (13%) (Cashews (6%), Almonds (4%), Hazelnuts (3%)), Date Syrup, Sunflower Oil, Maple Syrup (4%), Sunflower Seeds (3%), Orange Juice (3%), Pumpkin Seeds (2%)",H0000
5.07E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,237156,7850415,Bio&Me,Bio & Me 15 Raspberry & Beetroot Gut-loving Granola 360g,1802,16.9,2.3,50.7,9.1,12.2,0.03,"Wholegrain Oats (44%), Seeds (9%) (Pumpkin, Sunflower, Brown Linseed, Chia), Dates, Vegetable Fibres (Chickpeas, Maize), Extra Virgin Olive Oil, Puffed Sorghum, Chicory Root Fibre, Dried Carrot, Skin on Almonds, Quinoa, Puffed Chickpeas, Freeze Dried Raspberries (1%), Dried Beetroot (1%), Beetroot and Carrot Extract, Natural Flavourings","H0007,H0008"
5.10E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,237325,8096109,Flahavan's,Flahavans Original Granola 450g,2019,24,4.3,51,24,13,0.1,"Oats (46%), Seeds (16%) (Pumpkin, Sunflower), Sugar, Almonds (8%), Dried Fruit (7%) [Raisins (Raisins, Sunflower Oil), Sultanas (Sultanas, Sunflower Oil), Cranberries (Cranberries, Sugar, Sunflower Oil)], Rapeseed Oil, Coconut, Honey, Natural Flavouring","H0013,H0008,H0007,H0014"
5.10E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,237326,8096108,Flahavan's,Flahavans Toasted Nut Granola 400g,2109,27,4.8,52,19,12,0.06,"Oats 49%), Mixed Nuts (25%) (Cashew Nuts, Almonds, Pecan Nuts, Roasted Hazelnuts, Walnuts), Sugar, Rapeseed Oil, Coconut, Pumpkin Seeds, Honey, Black Treacle, Natural Flavouring","H0014,H0013"
5.10E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,237369,7929741,Lifeforce,Lifeforce Original Muesli 750g,1679,8.4,1.1,66.7,20.7,9.7,0,"Oats (41%), Chopped Dates (17%), Raisins (16%), Barley Flakes (13%), Roasted Peanuts (5%), Wheat Flakes (4%), Sunflower Seeds (2%), Hazelnuts (2%)","H0013,H0014,H0010"
5.39E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,237441,8007443,Bunalun,Bunalun Organic Cooking Original Porridge Oats 1kg,1566,7,1.3,59.1,1.1,13,0.03,100% Organic Oats,H0000
5.39E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,237672,7862683,Virginia Health,Virginia Health Cold Milled Organic Flaxseed Original 200g,2234,42.2,3.7,1.6,1.6,18.3,0.1,,"H0013,H0012"
